,feature name,rank
1885,APAAC_Pc1.Y,401
895,DDE_LE,403
197,CTDC_polarizability.G1,404
3547,Z5__13,405
142,CKSAAGP_uncharger.postivecharger.gap4,406
56,CKSAAGP_postivecharger.aromatic.gap1,407
109,CKSAAGP_postivecharger.uncharger.gap3,408
345,CTDD_polarizability.1.residue25,409
293,CTDD_hydrophobicity_ENGD860101.2.residue100,410
244,CTDD_hydrophobicity_ZIMJ680101.2.residue0,411
404,CTDT_hydrophobicity_PRAM900101.Tr1221,412
403,CTDD_solventaccess.3.residue100,413
3501,MSW__6,414
3506,MSW__11,415
3465,Cougar__10,416
3474,Ez__1,417
831,DDE_GY,418
405,CTDT_hydrophobicity_PRAM900101.Tr1331,419
3507,MSW__12,419
1893,NMBroto_CIDH920105.lag1,421
350,CTDD_polarizability.2.residue25,422
3530,Z3__14,423
407,CTDT_hydrophobicity_ARGP820101.Tr1221,423
235,CTDD_hydrophobicity_ARGP820101.3.residue25,425
149,CKSAAGP_alphaticr.uncharger.gap5,426
297,CTDD_hydrophobicity_ENGD860101.3.residue75,427
391,CTDD_solventaccess.1.residue50,428
897,DDE_LG,429
222,CTDD_hydrophobicity_PRAM900101.3.residue75,430
1913,NMBroto_CHAM810101.lag3,431
256,CTDD_hydrophobicity_PONP930101.1.residue50,432
287,CTDD_hydrophobicity_ENGD860101.1.residue75,433
3553,Z5__19,433
359,CTDD_charge.1.residue0,435
1874,APAAC_Pc1.G,436
243,CTDD_hydrophobicity_ZIMJ680101.1.residue100,437
105,CKSAAGP_postivecharger.alphaticr.gap3,438
3495,MSS,439
45,CKSAAGP_alphaticr.alphaticr.gap1,440
144,CKSAAGP_uncharger.uncharger.gap4,441
49,CKSAAGP_alphaticr.uncharger.gap1,442
1872,APAAC_Pc1.Q,442
336,CTDD_polarity.2.residue50,444
337,CTDD_polarity.2.residue75,445
388,CTDD_secondarystruct.3.residue100,445
1900,NMBroto_CHAM820101.lag2,447
3456,Cougar__1,448
25,CKSAAGP_aromatic.alphaticr.gap0,449
3242,PAAC_Xc1.A,449
3589,Kytedoolittle,451
11,AAC_K,452
3461,Cougar__6,453
280,CTDD_hydrophobicity_CASG920101.3.residue25,454
3540,Z5__6,455
400,CTDD_solventaccess.3.residue25,456
296,CTDD_hydrophobicity_ENGD860101.3.residue50,457
257,CTDD_hydrophobicity_PONP930101.1.residue75,458
729,DDE_AV,459
1451,GAAC_alphatic,460
416,CTDT_hydrophobicity_CASG920101.Tr1221,461
3663,OVP_Polar_C3,462
311,CTDD_hydrophobicity_FASG890101.3.residue50,463
201,CTDC_charge.G2,463
899,DDE_LI,465
3385,QSO3_SC2,466
2452,CKSAAP_NP.gap1,485
3245,PAAC_Xc1.D,485
234,CTDD_hydrophobicity_ARGP820101.3.residue0,485
247,CTDD_hydrophobicity_ZIMJ680101.2.residue75,485
3438,ABHPRK__48,485
3485,Ez__12,485
251,CTDD_hydrophobicity_ZIMJ680101.3.residue50,485
82,CKSAAGP_postivecharger.postivecharger.gap2,485
255,CTDD_hydrophobicity_PONP930101.1.residue25,485
3478,Ez__5,485
130,CKSAAGP_postivecharger.alphaticr.gap4,485
3443,ABHPRK__54,485
215,CTDD_hydrophobicity_PRAM900101.2.residue25,485
3249,PAAC_Xc1.G,485
495,CTriad_g2.g2.g4,485
3386,QSO3_SC3,485
3551,Z5__17,485
444,CTriad_g1.g1.g2,485
1870,APAAC_Pc1.D,485
322,CTDD_normwaalsvolume.2.residue75,485
3559,Z5__25,485
474,CTriad_g1.g5.g5,485
3529,Z3__13,485
360,CTDD_charge.1.residue25,485
198,CTDC_polarizability.G2,485
40,CKSAAGP_uncharger.alphaticr.gap0,485
3608,OVP_Small_N1,485
313,CTDD_hydrophobicity_FASG890101.3.residue100,485
340,CTDD_polarity.3.residue25,485
838,DDE_HH,485
3158,CKSAAP_RG.gap3,485
422,CTDT_hydrophobicity_FASG890101.Tr1221,485
50,CKSAAGP_aromatic.alphaticr.gap1,485
309,CTDD_hydrophobicity_FASG890101.3.residue0,485
185,CTDC_hydrophobicity_ENGD860101.G1,485
306,CTDD_hydrophobicity_FASG890101.2.residue50,485
304,CTDD_hydrophobicity_FASG890101.2.residue0,485
992,DDE_RA,485
183,CTDC_hydrophobicity_CASG920101.G2,513
414,CTDT_hydrophobicity_PONP930101.Tr1331,513
393,CTDD_solventaccess.1.residue100,513
2827,CKSAAP_QY.gap2,513
769,DDE_DV,513
188,CTDC_hydrophobicity_FASG890101.G1,513
47,CKSAAGP_alphaticr.postivecharger.gap1,513
3548,Z5__14,513
3422,ABHPRK__29,513
3089,CKSAAP_MC.gap3,513
3510,MSW__15,513
57,CKSAAGP_postivecharger.postivecharger.gap1,513
1868,APAAC_Pc1.R,513
291,CTDD_hydrophobicity_ENGD860101.2.residue50,513
3482,Ez__9,513
840,DDE_HK,513
1481,GTPC_alphaticr.alphaticr.alphaticr,513
1889,APAAC_Pc2.Hydrophobicity.2,524
308,CTDD_hydrophobicity_FASG890101.2.residue100,524
387,CTDD_secondarystruct.3.residue75,524
343,CTDD_polarity.3.residue100,524
2,AAC_N,524
847,DDE_HS,563
2627,CKSAAP_DF.gap2,563
1534,GTPC_postivecharger.aromatic.postivecharger,563
3278,DDR_F,563
2868,CKSAAP_TD.gap2,563
2582,CKSAAP_YR.gap1,563
3399,AASI,563
2804,CKSAAP_PP.gap2,563
3424,ABHPRK__32,563
3276,DDR_K,563
3391,Calculate_mw,563
